datetime,cpu_load1,cpu_load5,mem_used(M),mem_free(M)
2025-12-09_00:11:28,0,0,4322,105461
2025-12-09_00:11:33,0,0,4321,105462
2025-12-09_00:11:38,0,0,4321,105462
2025-12-09_00:11:43,0,0,4320,105463
2025-12-09_00:11:48,0,0,4320,105463
2025-12-09_00:11:53,0,0,4320,105463
2025-12-09_00:11:58,0,0,4320,105463
2025-12-09_00:12:03,0,0,4333,105450
2025-12-09_00:12:08,0,0,4329,105454
2025-12-09_00:12:13,0,0,4323,105460
2025-12-09_00:12:18,0,0,4323,105460
2025-12-09_00:12:23,0,0,4323,105460
2025-12-09_00:12:28,0,0,4320,105463
2025-12-09_00:12:33,0,0,4319,105464
2025-12-09_00:12:38,0,0,4319,105464
2025-12-09_00:12:43,0,0,4319,105464
2025-12-09_00:12:48,0,0,4319,105464
2025-12-09_00:12:53,0,0,4319,105464
2025-12-09_00:12:58,0,0,4319,105464
2025-12-09_00:13:03,0,0,4324,105459
2025-12-09_00:13:08,0,0,4323,105459
2025-12-09_00:13:13,0,0,4323,105460
2025-12-09_00:13:18,0,0,4322,105460
2025-12-09_00:13:23,0,0,4322,105461
2025-12-09_00:13:28,0,0,4322,105461
2025-12-09_00:13:33,0,0,4320,105463
2025-12-09_00:13:38,0,0,4320,105463
2025-12-09_00:13:43,0,0,4320,105463
2025-12-09_00:13:48,0,0,4320,105463
2025-12-09_00:13:53,0,0,4320,105463
2025-12-09_00:13:58,0,0,4319,105464
2025-12-09_00:14:03,0,0,4327,105456
2025-12-09_00:14:08,0,0,4324,105459
2025-12-09_00:14:13,0,0,4323,105460
2025-12-09_00:14:18,0,0,4322,105461
2025-12-09_00:14:23,0,0,4321,105462
2025-12-09_00:14:28,0,0,4321,105461
2025-12-09_00:14:33,0,0,4321,105461
2025-12-09_00:14:38,0,0,4321,105461
2025-12-09_00:14:43,0,0,4321,105461
2025-12-09_00:14:48,0,0,4321,105461
2025-12-09_00:14:53,0,0,4321,105462
2025-12-09_00:14:58,0,0,4321,105462
2025-12-09_00:15:03,0,0,4320,105462
2025-12-09_00:15:08,0,0,4320,105463
2025-12-09_00:15:13,0,0,4319,105464
2025-12-09_00:15:18,0,0,4316,105467
2025-12-09_00:15:23,0,0,4315,105468
2025-12-09_00:15:28,0,0,4323,105460
2025-12-09_00:15:33,0,0,4322,105460
2025-12-09_00:15:38,0,0,4322,105460
2025-12-09_00:15:43,0,0,4322,105461
2025-12-09_00:15:48,0,0,4322,105461
2025-12-09_00:15:53,0,0,4321,105462
2025-12-09_00:15:58,0,0,4321,105462
2025-12-09_00:16:03,0,0,4325,105458
2025-12-09_00:16:08,0,0,4325,105457
2025-12-09_00:16:13,0,0,4323,105460
2025-12-09_00:16:18,0,0,4322,105460
2025-12-09_00:16:23,0,0,4322,105461
2025-12-09_00:16:28,0,0,4317,105466
2025-12-09_00:16:33,0,0,4316,105467
2025-12-09_00:16:38,0,0,4316,105467
2025-12-09_00:16:43,0,0,4316,105467
2025-12-09_00:16:48,0,0,4316,105467
2025-12-09_00:16:53,0,0,4316,105467
2025-12-09_00:16:58,0,0,4316,105467
2025-12-09_00:17:03,0,0,4320,105463
2025-12-09_00:17:08,0,0,4317,105466
2025-12-09_00:17:13,0,0,4316,105466
2025-12-09_00:17:18,0,0,4313,105469
2025-12-09_00:17:23,0,0,4313,105470
2025-12-09_00:17:28,0,0,4313,105469
2025-12-09_00:17:33,0,0,4312,105470
